,BANK,IFSC,MICR CODE,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
0,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000001,,RTGS-HO,"MIDAS CORPORATE PARK, 3RD FLOOR, 37, G.T. ROAD, JALANDHAR",5050759,JALANDHAR,JALANDHAR,PUNJAB
1,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000002,144545604.0,SAMRAI,"NEAR BUS STAND, V. & P.O. SAMRAI-144032, DISTT. JALANDHAR",275880,SAMRAI,JALANDHAR,PUNJAB
2,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000003,144545202.0,PHAGWARA,"14-A, MODEL TOWN, G.T. ROAD, PHAGWARA - 144401, DISTT. KAPURTHALA",500602,PHAGWARA,KAPURTHALA,PUNJAB
3,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000004,146545002.0,HOSHIARPUR,"204-L, MODEL TOWN, BUS STAND ROAD, HOSHIARPUR -146001",520314,HOSHIARPUR,HOSHIARPUR,PUNJAB
4,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000005,144545652.0,MAHILPUR,"MAIN ROAD, NEAR BUS STAND, MAHILPUR-146105, DISTT. HOSHIARPUR",500836,MAHALPUR,HOSHIARPUR,PUNJAB
5,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000006,144545404.0,MEHATPUR,"MAIN ROAD, NEAR BUS STAND, MEHATPUR-144041, DISTT. JALANDHAR",250004,MAHATPUR,JALANDHAR,PUNJAB
6,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000007,144545252.0,KAPURTHALA,"JALANDHAR ROAD, NEAR BUS STAND, KAPURTHALA-144601",502829,KAPURTHALA,KAPURTHALA,PUNJAB
7,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000008,144545853.0,MALSIAN,"SHAHKOT ROAD, NEAR BUS STAND, MALSIAN - 144701, DISTT. JALANDHAR",502744,MALSIAN,JALANDHAR,PUNJAB
8,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000009,144545452.0,GORAYA,"G.T. ROAD, GORAYA-144409, DISTT. JALANDHAR",501893,GORAYA,JALANDHAR,PUNJAB
9,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000010,144545602.0,NURMAHAL,"MAIN ROAD, NURMAHAL - 144039, DISTT. JALANDHAR",503307,NURMAHAL,JALANDHAR,PUNJAB
10,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000011,144545403.0,SHANKAR,"NEAR BUS STAND, V. & P.O. SHANKAR - 144042, TEHSIL NAKODAR, DISTT. JALANDHAR",246489,SHANKER,JALANDHAR,PUNJAB
11,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000012,144545453.0,RURKI,"MAIN CHOWK, V. & P.O. RURKI-141311, TEHSIL PHILLAUR, DISTT. JALANDHAR",276363,ROURKA KALAN,JALANDHAR,PUNJAB
12,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000013,144545002.0,JALANDHAR,"GOBIND NIWAS, 36, G.T. ROAD, JALANDHAR-144001",5050600,JALANDHAR,JALANDHAR,PUNJAB
13,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000014,144545977.0,BHOGPUR,"G.T. ROAD, BHOGPUR -144201, DISTT. JALANDHAR",5060280,BHOGPUR,JALANDHAR,PUNJAB
14,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000015,144545903.0,LOHIAN,"MAIN ROAD, LOHIAN-144629, TEHSIL SHAHKOT, DISTT. JALANDHAR",501584,LOHIAN KHAS,JALANDHAR,PUNJAB
15,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000016,144545987.0,BEGOWAL,"MAIN ROAD, OPP. BUS STAND, V.& P.O. BEGOWAL-144621, TEHSIL BHOLATH, DISTT. KAPURTHALA",502370,BEGOWAL,KAPURTHALA,PUNJAB
16,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000017,144545603.0,JANDIALA,"NEAR BUS STAND, JALANDHAR ROAD, V. &P.O. JANDIALA - 144031, TEHSIL PHILLAUR, DISTT. JALANDHAR",274004,JUNDIALA,JALANDHAR,PUNJAB
17,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000018,144545852.0,SHAHKOT,"MOGA ROAD, NEAR GRAIN MARKET, SHAHKOT-144702, DISTT. JALANDHAR",503457,SHAHKOT,JALANDHAR,PUNJAB
18,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000019,144545612.0,SULTANPUR LODHI,"NEAR SHAHEED UDHAM SINGH CHOWK, KAPURTHALA ROAD, SULTANPUR LODHI - 144626, DISTT. KAPURTHALA",502000,SULTANPUR LODHI,KAPURTHALA,PUNJAB
19,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000020,144545605.0,BILGA,"NEAR PATTI NELOWAL CHOWK, V.&P.O. BILGA-144036, TEHSIL PHILLAUR, DISTT. JALANDHAR",245062,BILGA,JALANDHAR,PUNJAB
20,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000021,144545702.0,MUKERIAN,"PATHANKOT ROAD, NEAR BUS STAND, MUKERIAN - 144211, DISTT. HOSHIARPUR",502700,MUKERIAN,HOSHIARPUR,PUNJAB
21,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000022,144545312.0,TANDA,"NEAR JAJA CHOWK, SRI HARGOBINDPUR ROAD, TANDA-144203, DISTT. HOSHIARPUR",227280,URMAR TANDA,HOSHIARPUR,PUNJAB
22,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000023,144545253.0,KALA SANGHIAN,"JALANDHAR ROAD, V. & P.O. KALA SANGHIAN - 144623, DISTT. KAPURTHALA",258084,KALA SANGIAN,KAPURTHALA,PUNJAB
23,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000024,144545454.0,RURKA KALAN,"NEAR BUS STAND, GORAYA ROAD, V.P.O. RURKA KALAN-144031, TEHSIL PHILLAUR, DISTT. JALANDHAR",276222,ROURKA KALAN,JALANDHAR,PUNJAB
24,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000025,144545003.0,JALANDHAR,"143, VIJAY NAGAR, NR. FOOTBALL CHOWK, MAHAVIR MARG, JALANDHAR-144001",5026666,JALANDHAR,JALANDHAR,PUNJAB
25,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000026,144545502.0,PHILLAUR,"PRITHVI TOWER┬Æ, NEAR BUS STAND, G.T. ROAD, PHILLAUR--144410, DISTT. JALANDHAR",500777,PHILLAUR,JALANDHAR,PUNJAB
26,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000027,144545552.0,ADAMPUR,"MAIN ROAD, ADAMPUR-144103, DISTT. JALANDHAR",5090777,ADAMPUR,JALANDHAR,PUNJAB
27,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000028,146545003.0,CHABBEWAL,"HOSHIARPUR ROAD, ADDA CHABBEWAL 146102, DISTT. HOSHIARPUR",270250,CHABBEWAL,HOSHIARPUR,PUNJAB
28,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000029,144545877.0,DASUYA,"G.T. ROAD, NEAR LIC BUILDING, DASUYA ┬û 144205, DISTT. HOSHIARPUR",500111,DASUYA,HOSHIARPUR,PUNJAB
29,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000030,141545002.0,LUDHIANA,"BXX-3360, GURDEV NAGAR, (NEAR AARTI CINEMA), LUDHIANA-141001",5014444,LUDHIANA,LUDHIANA,PUNJAB
30,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000031,143545002.0,AMRITSAR,"CENTRAL MALL┬Æ, 32, MALL ROAD, AMRITSAR ┬û 143001TEL. : 0183-5093333, 5053333",5255505,AMRITSAR,AMRITSAR,PUNJAB
31,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000032,,JAMSHER,"JALANDHAR CANTT ROAD,V.AND P.O.JAMSHER 144020",2775111,JAMSHER,JALANDHAR,PUNJAB
32,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000033,144545802.0,KARTARPUR,"G.T.ROAD,KARTARPUR 144801",5050759,KARTARPUR,JALANDHAR,PUNJAB
33,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000034,141545003.0,DAKHA,"FEROZEPUR ROAD,V.AND P.O.DAKHA 141101",5050759,DAKHA,LUDHIANA,PUNJAB
34,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000035,142545052.0,"CAPITAL LOCAL AREA BANK LIMITED, JAGRAON","G.T.ROAD, NEAR SHERPUR FLYOVER BRIDGE, JAGRAON",510033,JAGRAON,LUDHIANA,PUNJAB
35,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000036,143545502.0,"CAPITAL LOCAL AREA BANK LIMITED, RAYYA","G.T.ROAD, RAYYA",500333,RAYYA,AMRITSAR,PUNJAB
36,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000037,144545988.0,"CAPITAL LOCAL AREA BANK LIMITED, NADALA","CAPITAL LOCAL AREA BANK LIMITED,VPO NADALA -144624 TEHSIL BHOLATH",501100,NADALA,KAPURTHALA,PUNJAB
37,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000038,141545202.0,"CAPITAL LOCAL AREA BANK LIMITED, KHANNA","CAPITAL LOCAL AREA BANK LIMITED, G.T.ROAD, NEAR OLD BUS STAND, KHANNA - 141401",504446,KHANNA,LUDHIANA,PUNJAB
38,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000039,144545005.0,"CAPITAL LOCAL AREA BANK LIMITED, LAMBRA","CAPITAL LOCAL AREA BANK LIMITED, NAKODAR ROAD,LAMBRA",2368168,LAMBRA,JALANDHAR,PUNJAB
39,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000040,141545251.0,"CAPITAL LOCAL AREA BANK LTD. , SAMRALA","CAPITAL LOCAL AREA BANK LTD., CHANDIGARH ROAD NEAR GURU GOBIND SINGH GURUDWARA, SAMRALA - 141114",5050759,SAMRALA,LUDHIANA,PUNJAB
40,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000041,146545005.0,"CAPITAL LOCAL AREA BANK LTD., HARIANA","CAPITAL LOCAL AREA BANK LTD., MAIN ROAD, HARIANA - 144208, TEHSIL BHUNGA",5050759,HARIANA BHUNGA,HOSHIARPUR,PUNJAB
41,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000042,144545854.0,"CAPITAL LOCAL AREA BANK LTD., PARJIAN","CAPITAL LOCAL AREA BANK LTD., MEHATPUR - SHAHKOT ROAD, PARJIAN - 144041, TEHSIL NAKODAR",5050759,PARJIAN,JALANDHAR,PUNJAB
42,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000043,144545653.0,"CAPITAL LOCAL AREA BANK,GARHSHANKAR","MAHILPUR ROAD,OPP. COURT COMPLEX,GARHSHANKAR - 144527,DISTRICT HOSHIARPUR",5050759,GARHSHANKAR,HOSHIARPUR,PUNJAB
43,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000044,144545878.0,"CAPITAL LOCAL AREA BANK,GARDHIWAL","DASUYA ROAD,GARDHIWAL - 144207,DISTRICT HOSHIARPUR",5050759,GARDHIWAL,HOSHIARPUR,PUNJAB
44,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000045,143545452.0,"CAPITAL LOCAL AREA BANK,JANDIALA GURU","G.T. ROAD, NEAR PETROL PUMP, JANDIALA GURU - 143115,DISTRICT AMRITSAR",5050759,JANDIALA GURU,AMRITSAR,PUNJAB
45,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000046,144545405.0,"CAPITAL LOCAL AREA BANK,UGGI","CAPITAL LOCAL AREA BANK,KAPURTHALA-NAKODAR ROAD,TEHSIL NAKODAR",5050759,UGGI,JALANDHAR,PUNJAB
46,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000047,141545004.0,"CAPITAL LOCAL AREA BANK,DORAHA","CAPITAL LOCAL AREA BANK LTD,DORAHA G.T ROAD",5050759,DORAHA,LUDHIANA,PUNJAB
47,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000048,144545006.0,MODEL TOWN,"504-R MODEL TOWN,DISTT JALANDHAR,PUNJAB-144001",5050759,JALANDHAR,JALANDHAR,PUNJAB
48,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000049,144545904.0,BOOLPUR,"VILLAGE BOOLPUR,PO NAWAN THATHA TEHSIL SULTANPUR",258001,SULTANPUR LODHI,KAPURTHALA,PUNJAB
49,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000050,144545254.0,RAZAPUR,"VILLAGE & PO RAZAPUR,",654001,KAPURTHALA,KAPURTHALA,PUNJAB
50,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000051,144545905.0,NAWANPIND DONEWAL,VILLAGE & PO NAWANPIND DONEWAL TEHSIL SHAHKOT,276245,SHAHKOT,JALANDHAR,PUNJAB
51,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000052,144545855.0,POONIA,VILLAGE & PO POONIA TEHSIL SHAHKOT,275123,SHAHKOT,JALANDHAR,PUNJAB
52,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000053,144545856.0,SEECHEWAL,"VILLAGE SEECHEWAL PO CHAK CHELA,TEHSIL SHAHKOT",270009,SHAHKOT,JALANDHAR,PUNJAB
53,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000054,144545857.0,KANGNA,"VILLAGE & PO KANGNA,TEHSIL NAKODAR",271184,NAKODAR,JALANDHAR,PUNJAB
54,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000055,144545606.0,KANDOLA KALAN,"VILLAGE & PO KANDOLA KALAN,TEHSIL PHILLAUR",242273,PHILLAUR,JALANDHAR,PUNJAB
55,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000056,144545607.0,DHALIWAL,"VILLAGE & PO DHALIWAL,TEHSIL NAKODAR",247123,NAKODAR,JALANDHAR,PUNJAB
56,CAPITAL SMALL FINANCE BANK LIMITED,CLBL0000057,144545406.0,BOPARAI KALAN,"VILLAGE & PO BOPARAI KALAN,TEHSIL NAKODAR",246253,NAKODAR,JALANDHAR,PUNJAB
