,BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
0,TELANGANA STATE COOP APEX BANK,TSAB0000101,VIDYANAGAR,"H NO 1-9-652/1 TO 10, AMBATI NARASAMMA TOWERS , VIDYANAGAR,STREET NO. 6 HYDERABAD 500044",RANGA REDDY,HYDERABAD,TELANGANA,23443835
1,TELANGANA STATE COOP APEX BANK,TSAB0000102,MALAKPET,"D.NO. 16-2-661/B, JUDGES COLONY, MALAKPET, HYDERABAD 36",RANGA REDDY,HYDERABAD,TELANGANA,23443882
2,TELANGANA STATE COOP APEX BANK,TSAB0000103,NARAYANAGUDA,"3-4-447 / 448,BARKATPURA,OPP.YMCA,HYDERABAD",RANGA REDDY,HYDERABAD,TELANGANA,23443883
3,TELANGANA STATE COOP APEX BANK,TSAB0000104,SECUNDERABAD,"8-3-261,IST FLOOR,MARKET STREET,NEAR RAJESHWARI THEATRE,SECUNDERABAD 25",RANGA REDDY,SECUNDERABAD,TELANGANA,23443834
4,TELANGANA STATE COOP APEX BANK,TSAB0000105,VIDYUTH SOUDHA,"AP TRANSCO COMPOUND KHAIRATABAD, HYDERABAD 82",RANGA REDDY,SECUNDERABAD,TELANGANA,23441232
5,TELANGANA STATE COOP APEX BANK,TSAB0000107,SAIDABAD,"16-1-24/B/A/3GREENLANDCOLOY SAIDABAD,HYDERABAD59",RANGA REDDY,HYDERABAD,TELANGANA,23443839
6,TELANGANA STATE COOP APEX BANK,TSAB0000108,BOUDHANAGAR,"12-10-117,NOMULA ESTATE,SEETHAPHALMANDI,HYDERABAD 69",RANGA REDDY,HYDERABAD,TELANGANA,23443834
7,TELANGANA STATE COOP APEX BANK,TSAB0000109,HIMAYATHNAGAR,"3-6-148/A/1, IST FLOOR, HIMAYATHNAGAR, HYDERABAD 29",RANGA REDDY,HYDERABAD,TELANGANA,23441212
8,TELANGANA STATE COOP APEX BANK,TSAB0000110,TARNAKA,"12-13-188,STREETO2,TARNAKA,HYERABAD17",RANGA REDDY,HYDERABAD,TELANGANA,23443885
9,TELANGANA STATE COOP APEX BANK,TSAB0000111,MASAB TANK,10-1-181/1 MASAB TANK HYDERABAD 4,RANGA REDDY,HYDERABAD,TELANGANA,23441242
10,TELANGANA STATE COOP APEX BANK,TSAB0000112,DILSUKHNAGAR,"9-24, SRIHARI VASAM, DILSUKHNAGAR,HYDERABAD 60",RANGA REDDY,HYDERABAD,TELANGANA,23443836
11,TELANGANA STATE COOP APEX BANK,TSAB0000113,CHARMINAR,"22-5-519 AND 545/1,ILAHI PETROL STATION,PANJESHA,HYDERABAD 2",RANGA REDDY,HYDERABAD,TELANGANA,23443832
