,BANK NAME,IFSC ,BRANCH 1,BRANCH 2,ADDRESS,CITY 1,CITY 2,STATE
0,"RBI PAD, AHMEDABAD",RBIS0COD001,BRANCH,RBI CENTRAL OFFICE DEPARTMENTS,"CENTRAL ADMINISTRATION DIVISION, HUMAN RESOURCE MANAGEMENT DEPARTMENT, CENTRAL OFFICE, AMAR BUILDING, 3RD FLOOR, SIR P M ROAD, MUMBAI 400001",MUMBAI,MUMBAI,MAHARASHTRA
1,"RBI PAD, AHMEDABAD",RBIS0GOAPEP,BRANCH,"RBI,HYDERABAD,GOVT OF AP","RESERVE BANK OF INDIA,6/1/56,SECRETARIAT ROAD,SAIFABAD,KHAIRATABAD,HYDERABAD,TELANGANA 500004",HYDERABAD,HYDERABAD,TELANGANA
2,"RBI PAD, AHMEDABAD",RBIS0GOAPER,BRANCH,RBI HYDERABAD GOVT OF ANDHRA PRADESH,"6-1-56, SECRETARIAT ROAD, SAIFABAD, HYDERABAD",HYDERABAD,HYDERABAD,TELANGANA
3,"RBI PAD, AHMEDABAD",RBIS0GOGJEP,BRANCH,"RBI,AHMEDABAD","RESERVE BANK OF INDIA, NEAR GANDHI BRIDGE, INCOME TAX CIRCLE, ASHRAM ROAD, AHMEDABAD - 380014",AHMEDABAD,AHMEDABAD,GUJARAT
4,"RBI PAD, AHMEDABAD",RBIS0GOKAER,BRANCH,"RBI, BENGALURU, GOVT OF KARNATAKA","RESERVE BANK OF INDIA, 10/3/8, NRUPTHUNGA ROAD, BENGALURU-560 001",BANGALORE URBAN,BENGALURU,KARNATAKA
5,"RBI PAD, AHMEDABAD",RBIS0GOMHEP,BRANCH,"RBI, MUMBAI RO GOVT OF MAHARASHTRA","RESERVE BANK OF INDIA,BANKING DEPT,MAIN BUILDING,MUMBAI REGIONAL OFFICE,FORT,MUMBAI,400 001",MUMBAI,MUMBAI,MAHARASHTRA
6,"RBI PAD, AHMEDABAD",RBIS0GOPNEP,BRANCH,"RBI, CHANDIGARH, GOVT OF PUNJAB","RESERVE BANK OF INDIA, CENTRAL VISTA, SECTOR 17, CHANDIGARH - 160 017",CHANDIGARH,CHANDIGARH,CHANDIGARH
7,"RBI PAD, AHMEDABAD",RBIS0GORJEP,BRANCH,"RBI, JAIPUR, GOVT OF RAJASTHAN","RESERVE BANK OF INDIA, RAMBAGH CIRCLE, TONK ROAD, JAIPUR - 302 004",JAIPUR,JAIPUR,RAJASTHAN
8,"RBI PAD, AHMEDABAD",RBIS0GOTGEP,BRANCH,"RBI, HYDERABAD, GOVT OF TELENGANA","RESERVE BANK OF INDIA,6-1-56,SECRETARIAT ROAD,SAIFABAD,KHAIRATABAD,HYDERABAD,TELANGANA 500004",HYDERABAD,HYDERABAD,ANDHRA PRADESH
9,"RBI PAD, AHMEDABAD",RBIS0GOUPEP,BRANCH,"RBI,KANPUR,GOVT OF U.P","Reserve Bank of India, Post Box No. 82/142, M.G. Road, Kanpur - 208 001",KANPUR,KANPUR,UTTAR PRADESH
