,BANK NAME,IFSC ,BRANCH,ADDRESS,CITY,DISTRICT,STATE,CONTACT
0,"RESERVE BANK OF INDIA , PAD",RBIS0AGPA01,AGARTALA,"II FLOOR,JACKSON GATE BUILDING LENIN SARANI,AGARTALA",AGARTALA,TRIPURA,TRIPURA,2381051
1,"RESERVE BANK OF INDIA , PAD",RBIS0GSTPMT,RBI NEFT RTGS GST COLLECTION,"ASST. GENERAL MANAGER,GST CELL,RESERVE BANK OF INDIA,MUMBAI REGIONAL OFFICE,FORT,MUMBAI - 400001",MUMBAI,MUMBAI,MAHARASHTRA,22642836
2,"RESERVE BANK OF INDIA , PAD",RBIS0GTPA01,GANGTOK,LRSYZALTK,GANGTOK,SIKKIM,SIKKIM,281117
3,"RESERVE BANK OF INDIA , PAD",RBIS0PUPA01,CAB PUNE,"GANESH KHIND ROAD, NEAR ESQUARE",PUNE,PUNE,MAHARASHTRA,0
4,"RESERVE BANK OF INDIA , PAD",RBIS0SAMADN,SAMADHAN - HR OPERATIONS UNIT,"RESERVE BANK OF INDIA, BENGALURU",BENGALURU,BENGALURU,KARNATAKA,22180100
5,"RESERVE BANK OF INDIA , PAD",RBIS0SCPA01,RESERVE BANK STAFF COLLEGE RBSC CHENNAI,"5,ANNASALAI,TEYNAMPET,CHENNAI",CHENNAI,CHENNAI,TAMIL NADU,24302700
6,"RESERVE BANK OF INDIA , PAD",RBIS0SLPA01,SHILLONG,"APPHIRA BUILDING,FRUIT GARDEN,SHILLONG JOWAI ROAD,SHILLONG",SHILLONG,MEGHALAYA,MEGHALAYA,2501839
7,"RESERVE BANK OF INDIA , PAD",RBIS0AHPA01,AHMEDABAD REGIONAL OFFICE,"PAD,AHMEDABAD MAIN OFFICE,AHMEDABAD",AHMEDABAD,AHMEDABAD,GUJARAT,0
8,"RESERVE BANK OF INDIA , PAD",RBIS0BBPA01,PAD BHUBANESWAR,"PAD BHUBANESWAR, BHUBANESWAR",KHURDA,BHUBANESWAR,ODISHA,0
9,"RESERVE BANK OF INDIA , PAD",RBIS0BGPA01,BANGALORE REGIONAL OFFICE,"10 BY 3 BY 8, NRUPTHUNGA ROAD, BANGALORE-560 001",BANGALORE,BANGALORE,KARNATAKA,0
10,"RESERVE BANK OF INDIA , PAD",RBIS0BLPA01,PAD BHOPAL,"PAD BHOPAL,BHOPAL",BHOPAL,BHOPAL,MADHYA PRADESH,0
11,"RESERVE BANK OF INDIA , PAD",RBIS0CGPA01,PAD CHANDIGARH,"PAD CHANDIGARH,CHANDIGARH",CHANDIGARH,CHANDIGARH,CHANDIGARH,0
12,"RESERVE BANK OF INDIA , PAD",RBIS0CNPA01,CHENNAI REGIONAL OFFICE,"PAD,CHENNAI MAIN OFFICE,CHENNAI",CHENNAI,CHENNAI,TAMIL NADU,0
13,"RESERVE BANK OF INDIA , PAD",RBIS0DNPA01,DEHRADUN,"74 BY 1,RAJPUR ROAD,DEHRADUN",DEHRADUN,DEHRADUN,UTTARAKHAND,0
14,"RESERVE BANK OF INDIA , PAD",RBIS0GWPA01,PAD GUWAHATI,PAD GUWAHATI,GUWAHATI,GUWAHATI,ASSAM,0
15,"RESERVE BANK OF INDIA , PAD",RBIS0JMPA01,JAMMU,"RESERVE BANK OF INDIA,JAMMU",JAMMU,JAMMU,JAMMU AND KASHMIR,0
